Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HY,AY,HR,AR,Season,HomeRank,AwayRank,HomePoints,AwayPoints,HomeW,AwayW,HomeGD,AwayGD,HomeGP,AwayGP,Sum_HomeY,Sum_AwayY,Sum_HomeR,Sum_AwayR,Stadium,Home_LastRank,Away_LastRank,Home_L5_GS,Home_L5_GC,Home_L5_Form_Pts,Away_L5_GS,Away_L5_GC,Away_L5_Form_Pts,Rank_Diff,LastRank_Diff,Form_Diff,GD_Diff,HomePPG,AwayPPG,PPG_Diff,HomeGDpg,AwayGDpg,GDpg_Diff,WeatherSeason
2026-08-17,19:15,Casa Pia,Benfica,,,,,,,,,,,26-27,18,6,0,1,0,0,-1.0,0.0,1,1,2.0,2.0,0.0,0.0,25,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12,13.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,2
2026-08-16,19:30,Sp Braga,Gil Vicente,,,,,,,,,,,26-27,11,3,1,3,0,1,0.0,1.0,1,1,2.0,1.0,0.0,0.0,14,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8,-2.0,0.0,-1.0,1.0,3.0,-2.0,0.0,1.0,-1.0,2
2026-08-16,19:30,Famalicao,Maritimo,,,,,,,,,,,26-27,14,2,1,3,0,1,0.0,1.0,1,1,2.0,2.0,0.0,0.0,21,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,12,-14.0,0.0,-1.0,1.0,3.0,-2.0,0.0,1.0,-1.0,2
2026-08-16,17:00,Arouca,Moreirense,,,,,,,,,,,26-27,4,7,3,1,1,0,1.0,0.0,1,1,5.0,4.0,1.0,0.0,23,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,2.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,2
2026-08-16,14:30,Nacional,Estoril,,,,,,,,,,,26-27,10,13,1,1,0,0,0.0,0.0,1,1,2.0,1.0,0.0,0.0,18,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2
2026-08-15,19:30,Rio Ave,Porto,,,,,,,,,,,26-27,17,1,0,3,0,1,-1.0,2.0,1,1,3.0,0.0,1.0,0.0,4,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,12.0,0.0,-3.0,0.0,3.0,-3.0,-1.0,2.0,-3.0,2
2026-08-15,17:00,Académico de Viseu FC,Santa Clara,,,,,,,,,,,26-27,15,8,0,1,0,0,0.0,0.0,0,1,0.0,2.0,0.0,0.0,29,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,2
2026-08-15,14:30,Alverca,Estrela,,,,,,,,,,,26-27,19,5,0,1,0,0,-2.0,0.0,1,1,4.0,2.0,0.0,0.0,28,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,14,-4.0,0.0,-2.0,0.0,1.0,-1.0,-2.0,0.0,-2.0,2
2026-08-14,19:15,Sp Lisbon,Guimaraes,,,,,,,,,,,26-27,9,16,1,0,0,0,0.0,-1.0,1,1,2.0,2.0,0.0,0.0,9,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,-6.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,2
2026-08-10,20:15,Santa Clara,Nacional,2.0,2.0,D,2.0,2.0,D,2.0,2.0,0.0,0.0,26-27,13,15,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,19,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
