Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HxG,AxG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
P1,07/08/2026,20:15,Estoril,Famalicao,1.0,1.0,D,0.0,1.0,A,1.22,1.47,14.0,6.0,3.0,3.0,12.0,13.0,7.0,6.0,1.0,2.0,0.0,0.0,2.75,3.3,2.4,2.75,3.25,2.38,2.8,3.25,2.3,2.95,3.25,2.3,2.88,3.3,2.4,2.8,3.5,2.38,3.0,3.5,2.45,2.85,3.28,2.38,3.15,3.4,2.48,1.93,1.93,1.95,1.93,1.91,1.82,2.04,1.93,0.0,2.05,1.8,2.05,1.8,2.02,1.73,2.24,1.76,3.0,3.25,2.3,2.75,3.25,2.38,2.88,3.2,2.3,2.9,3.2,2.4,2.88,3.1,2.45,2.88,3.3,2.4,3.0,3.3,2.5,2.88,3.22,2.39,3.15,3.35,2.54,2.05,1.75,2.05,1.83,1.98,1.75,2.14,1.86,0.25,1.8,2.05,1.8,2.1,1.74,2.01,1.84,2.16
P1,08/08/2026,15:30,Maritimo,Casa Pia,1.0,0.0,H,0.0,0.0,D,1.28,0.65,16.0,9.0,4.0,4.0,17.0,13.0,2.0,6.0,2.0,2.0,0.0,0.0,2.32,3.5,2.75,2.5,3.3,2.6,2.3,3.25,2.8,2.4,3.3,2.8,2.5,3.4,2.7,2.45,3.3,2.63,2.5,3.5,2.88,2.41,3.35,2.76,2.44,3.5,3.05,2.0,1.8,2.0,1.91,1.9,1.81,2.04,1.84,0.0,1.7,2.1,1.8,2.1,1.71,2.03,1.76,2.18,1.86,3.3,4.1,1.95,3.1,4.0,1.91,3.13,4.0,1.95,3.2,4.1,1.95,3.2,4.0,1.95,3.3,3.8,2.15,3.35,4.2,1.95,3.19,3.97,2.02,3.4,4.6,2.4,1.53,2.4,1.6,2.31,1.55,2.48,1.66,-0.5,1.98,1.88,2.1,1.88,1.93,1.8,2.02,1.96
P1,08/08/2026,18:00,Guimaraes,Arouca,0.0,1.0,A,0.0,0.0,D,2.22,0.49,24.0,4.0,3.0,2.0,9.0,7.0,5.0,2.0,2.0,5.0,0.0,1.0,1.86,3.4,4.0,1.9,3.5,3.6,1.87,3.4,3.75,1.87,3.5,3.9,1.95,3.5,3.8,1.91,3.4,3.6,1.95,3.6,4.0,1.9,3.47,3.83,1.97,3.8,4.1,1.95,1.9,1.95,1.9,1.87,1.84,1.94,2.0,-0.5,1.93,1.93,1.93,1.93,1.86,1.87,1.94,1.98,1.86,3.4,4.0,1.9,3.5,3.6,1.87,3.4,3.75,1.93,3.5,3.75,1.91,3.4,4.0,1.87,3.6,3.8,1.95,3.6,4.0,1.91,3.47,3.81,2.0,3.6,4.3,1.88,1.98,1.93,1.98,1.86,1.86,2.02,1.97,-0.5,1.93,1.93,1.93,1.93,1.88,1.85,2.0,1.98
P1,08/08/2026,20:30,Estrela,Sp Lisbon,2.0,2.0,D,0.0,0.0,D,1.01,2.62,9.0,15.0,4.0,8.0,13.0,14.0,5.0,4.0,2.0,2.0,0.0,0.0,12.0,5.75,1.22,12.0,6.0,1.2,11.5,5.75,1.2,10.5,6.0,1.25,13.0,6.0,1.2,11.0,5.75,1.2,13.0,6.5,1.25,11.3,5.96,1.22,15.0,6.4,1.25,1.53,2.4,1.53,2.5,1.51,2.42,1.58,2.36,1.75,1.93,1.93,1.93,1.93,1.88,1.86,1.89,1.97,9.0,4.75,1.3,9.5,5.0,1.29,8.5,4.8,1.3,8.0,5.0,1.35,9.5,5.0,1.3,9.0,5.0,1.3,9.5,5.4,1.36,8.63,4.98,1.32,11.0,5.5,1.36,1.67,2.15,1.67,2.2,1.64,2.16,1.75,2.28,1.5,1.83,2.03,1.85,2.05,1.8,1.94,1.86,2.06
P1,09/08/2026,18:00,Porto,Alverca,2.0,0.0,H,2.0,0.0,H,2.59,1.66,10.0,15.0,4.0,5.0,13.0,10.0,7.0,9.0,0.0,4.0,0.0,0.0,1.15,6.5,15.0,1.18,6.0,13.0,1.15,6.5,13.0,1.2,6.5,13.0,1.17,6.5,17.0,1.17,6.25,13.0,1.2,7.0,17.0,1.17,6.4,13.33,,,,1.57,2.35,1.57,2.4,1.54,2.35,,,-2.0,2.03,1.83,2.03,1.83,1.96,1.79,,,1.17,5.75,15.0,1.18,6.0,13.0,1.18,5.75,13.0,1.22,6.0,13.0,1.17,6.0,16.0,1.17,6.5,15.0,1.22,6.5,16.0,1.19,6.0,13.3,1.23,7.0,21.0,1.67,2.15,1.67,2.25,1.63,2.17,1.75,2.3,-1.75,1.88,1.98,1.88,1.98,1.82,1.92,1.9,2.05
P1,09/08/2026,20:30,Benfica,Academico Viseu,2.0,2.0,D,1.0,0.0,H,3.12,1.18,28.0,8.0,11.0,4.0,14.0,13.0,10.0,2.0,2.0,4.0,0.0,0.0,1.1,9.0,21.0,1.1,8.0,19.0,1.08,8.0,21.0,1.13,8.5,18.5,1.08,9.5,26.0,1.08,8.5,19.0,1.13,10.0,26.0,1.1,8.53,20.37,1.14,9.8,25.0,1.44,2.7,1.45,2.8,1.41,2.71,1.46,2.8,-2.5,2.05,1.75,2.05,1.8,1.98,1.74,2.09,1.8,1.09,9.0,19.0,1.09,8.5,19.0,1.08,8.5,18.0,1.13,8.75,17.5,1.08,9.0,26.0,1.08,10.0,23.0,1.13,10.0,26.0,1.1,8.93,19.63,1.13,11.0,36.0,1.36,3.1,1.38,3.5,1.34,3.05,1.39,3.4,-2.5,2.0,1.85,2.0,1.9,1.92,1.81,2.09,1.87
P1,09/08/2026,20:30,Gil Vicente,Rio Ave,1.0,0.0,H,0.0,0.0,D,1.53,0.3,13.0,6.0,5.0,2.0,14.0,9.0,5.0,2.0,1.0,3.0,0.0,1.0,1.91,3.5,3.8,1.91,3.4,3.75,1.9,3.4,3.7,1.98,3.4,3.6,1.91,3.5,3.8,1.91,3.4,3.6,2.0,3.5,3.9,1.93,3.43,3.74,1.97,3.5,4.0,1.98,1.88,1.98,1.88,1.92,1.81,1.98,1.88,-0.5,1.98,1.88,1.98,1.9,1.9,1.83,,,2.1,3.2,3.4,1.95,3.3,3.6,2.1,3.13,3.3,2.15,3.2,3.4,2.05,3.2,3.7,2.05,3.3,3.6,2.15,3.3,3.7,2.09,3.23,3.47,2.2,3.35,3.95,2.15,1.67,2.2,1.67,2.15,1.64,2.32,1.74,-0.25,1.88,1.98,1.88,1.98,1.81,1.93,1.88,2.1
P1,09/08/2026,20:30,Moreirense,Sp Braga,2.0,2.0,D,1.0,1.0,D,0.2,1.5,7.0,13.0,3.0,4.0,15.0,20.0,4.0,2.0,4.0,2.0,0.0,0.0,5.0,3.6,1.66,4.5,3.6,1.7,4.6,3.6,1.67,4.75,3.6,1.7,4.75,3.7,1.67,4.6,3.6,1.67,5.0,3.75,1.73,4.68,3.64,1.7,5.1,3.95,1.69,2.0,1.85,2.0,1.85,1.92,1.8,1.99,1.89,0.75,1.9,1.95,1.9,1.95,1.86,1.88,,,6.0,3.9,1.51,6.0,3.75,1.53,6.0,3.7,1.53,6.0,3.8,1.55,6.0,4.0,1.5,6.0,4.2,1.5,6.6,4.2,1.57,6.05,3.89,1.53,7.0,4.3,1.58,2.08,1.73,2.08,1.83,1.98,1.76,2.14,1.86,1.0,1.85,2.0,1.85,2.0,1.81,1.94,1.9,2.02
P1,10/08/2026,20:15,Santa Clara,Nacional,2.0,2.0,D,2.0,2.0,D,1.44,1.24,19.0,10.0,7.0,4.0,15.0,14.0,4.0,4.0,2.0,2.0,0.0,0.0,1.86,3.25,4.2,1.83,3.3,4.0,1.83,3.25,4.1,1.87,3.3,4.2,1.85,3.4,4.2,1.8,3.25,3.9,1.91,3.4,4.4,1.85,3.32,4.17,1.87,3.35,4.6,2.15,1.67,2.15,1.7,2.11,1.65,,,-0.5,1.88,1.98,1.88,1.98,1.82,1.9,,,3.0,4.75,0.925,3.1,4.33,0.909,3.1,4.33,0.914,3.1,4.33,0.926,3.1,4.5,0.926,3.25,4.5,0.934,3.25,4.75,0.95,3.13,4.46,0.93,1.96,3.3,5.2,1.48,0.943,1.5,0.943,1.47,0.93,2.66,1.58,1.85,1.95,0.962,1.95,0.962,1.87,0.93,1.95,2.04
P1,14/08/2026,19:15,Sp Lisbon,Guimaraes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
